iter	Passed	Remaining
0	148	148478
1	153	76677
2	158	52670
3	161	40270
4	164	32716
5	168	27925
6	171	24362
7	173	21495
8	174	19261
9	176	17465
10	177	15972
11	179	14785
12	182	13856
13	184	12969
14	185	12162
15	186	11449
16	187	10821
17	188	10263
18	189	9759
19	190	9310
20	190	8902
21	192	8536
22	193	8207
23	195	7935
24	196	7651
25	197	7383
26	197	7133
27	198	6900
28	199	6684
29	200	6481
30	201	6293
31	202	6118
32	203	5962
33	204	5807
34	205	5659
35	206	5524
36	208	5434
37	210	5328
38	214	5286
39	215	5169
40	216	5058
41	217	4953
42	218	4852
43	219	4762
44	220	4670
45	220	4582
46	223	4536
47	225	4466
48	228	4433
49	229	4359
50	230	4286
51	231	4215
52	232	4145
53	232	4079
54	233	4013
55	234	3951
56	236	3904
57	238	3872
58	240	3830
59	241	3784
60	242	3731
61	243	3679
62	244	3629
63	244	3580
64	245	3534
65	246	3487
66	247	3443
67	248	3400
68	249	3364
69	253	3368
70	255	3341
71	257	3314
72	257	3275
73	258	3237
74	259	3200
75	260	3164
76	261	3129
77	261	3094
78	262	3060
79	263	3027
80	264	2999
81	267	2994
82	268	2961
83	269	2936
84	270	2914
85	271	2886
86	272	2858
87	273	2830
88	273	2803
89	274	2777
90	275	2752
91	276	2727
92	277	2702
93	277	2678
94	278	2656
95	280	2642
96	281	2624
97	283	2607
98	284	2587
99	285	2565
100	285	2543
101	286	2522
102	287	2502
103	288	2481
104	288	2462
105	289	2443
106	290	2424
107	291	2405
108	291	2386
109	292	2368
110	293	2352
111	295	2345
112	296	2330
113	297	2315
114	299	2302
115	299	2285
116	300	2268
117	301	2252
118	302	2236
119	302	2220
120	303	2205
121	304	2189
122	305	2175
123	305	2161
124	306	2146
125	307	2132
126	308	2117
127	309	2109
128	311	2101
129	312	2089
130	313	2076
131	313	2063
132	314	2050
133	315	2037
134	315	2024
135	316	2012
136	317	1999
137	318	1987
138	319	1976
139	319	1964
140	320	1953
141	321	1940
142	321	1928
143	322	1918
144	323	1909
145	325	1904
146	327	1898
147	328	1888
148	328	1878
149	329	1869
150	330	1859
151	331	1849
152	332	1840
153	333	1831
154	334	1822
155	335	1812
156	335	1802
157	336	1793
158	337	1784
159	338	1778
160	340	1772
161	341	1765
162	342	1757
163	343	1748
164	343	1740
165	344	1731
166	345	1722
167	346	1714
168	346	1706
169	347	1697
170	348	1689
171	349	1681
172	350	1673
173	350	1665
174	351	1657
175	352	1650
176	354	1646
177	355	1640
178	356	1634
179	357	1628
180	358	1620
181	358	1613
182	359	1605
183	360	1598
184	361	1591
185	361	1583
186	362	1576
187	363	1569
188	364	1562
189	364	1555
190	365	1548
191	366	1541
192	367	1535
193	368	1532
194	370	1528
195	371	1523
196	372	1517
197	373	1511
198	374	1505
199	374	1499
200	375	1493
201	376	1487
202	377	1482
203	378	1476
204	379	1470
205	380	1465
206	380	1459
207	381	1454
208	384	1454
209	385	1450
210	386	1446
211	387	1441
212	388	1435
213	389	1429
214	390	1424
215	390	1418
216	391	1413
217	392	1407
218	393	1402
219	394	1397
220	394	1392
221	395	1386
222	396	1381
223	398	1379
224	399	1376
225	400	1372
226	401	1367
227	402	1362
228	403	1357
229	403	1352
230	404	1347
231	405	1342
232	406	1337
233	407	1332
234	407	1328
235	408	1323
236	409	1318
237	410	1313
238	411	1309
239	412	1306
240	414	1304
241	415	1302
242	416	1297
243	417	1293
244	418	1289
245	419	1284
246	419	1279
247	420	1275
248	421	1270
249	422	1266
250	422	1261
251	423	1257
252	424	1252
253	424	1248
254	425	1243
255	426	1240
256	428	1239
257	430	1238
258	431	1234
259	432	1230
260	432	1225
261	433	1221
262	434	1217
263	435	1213
264	435	1209
265	436	1205
266	437	1201
267	438	1196
268	438	1192
269	439	1188
270	440	1184
271	441	1181
272	443	1180
273	444	1177
274	446	1175
275	446	1171
276	447	1168
277	448	1164
278	449	1160
279	449	1156
280	450	1153
281	451	1149
282	452	1145
283	452	1141
284	453	1138
285	454	1134
286	455	1130
287	456	1127
288	457	1126
289	459	1124
290	460	1122
291	461	1118
292	462	1115
293	463	1112
294	464	1109
295	465	1106
296	466	1103
297	467	1100
298	467	1096
299	468	1093
300	469	1089
301	470	1086
302	470	1083
303	472	1082
304	474	1080
305	475	1077
306	475	1074
307	476	1071
308	477	1067
309	478	1064
310	479	1061
311	479	1058
312	480	1054
313	481	1051
314	482	1048
315	482	1045
316	483	1042
317	484	1038
318	485	1035
319	486	1034
320	488	1032
321	488	1029
322	489	1026
323	490	1023
324	491	1020
325	492	1017
326	492	1014
327	493	1011
328	494	1008
329	495	1005
330	495	1002
331	496	999
332	497	996
333	498	993
334	498	990
335	499	987
336	500	984
337	502	983
338	503	981
339	504	978
340	504	975
341	505	972
342	506	970
343	507	967
344	508	964
345	509	962
346	509	959
347	510	956
348	511	953
349	512	951
350	512	948
351	513	945
352	514	942
353	515	940
